code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002077,大港股份,70.4,True,12.13,17.08,13,10.86,-32.59,-2.76,-28.99,0.0,2026-07-22,2026-07-22,25.1,0.2034,0.5574,0.7881,0.5221,0.3356,0.0,0.2623,-0.1393,0.4304,多周期方向不一致，观望,-0.3757,-0.1329,-0.1575
002243,力合科创,80.2,True,6.66,6.67,5,4.48,-16.16,-5.96,-0.2,0.0,2026-07-22,2026-07-22,48.59,0.4683,-0.0483,0.5625,0.4617,0.8577,0.0626,0.2616,-0.7251,0.1375,多周期共振看空 ⬇⬇⬇,-0.3946,-0.6929,-0.5625
002206,海 利 得,54.22,True,5.13,5.28,7,2.68,-5.24,-1.23,-2.79,0.0972,2026-07-22,2026-07-22,31.11,0.5784,-0.6249,0.2881,0.347,0.4691,0.5198,0.2615,-0.6751,0.1624,多周期共振看空 ⬇⬇⬇,-0.3432,-0.6946,-0.495
000403,派林生物,90.02,True,9.57,9.34,6,7.79,-22.46,-8.58,2.5,0.0,2026-07-14,2026-07-22,57.0,0.5855,-0.5569,0.5033,0.3513,0.9556,0.1612,0.261,-0.7502,0.1249,多周期共振看空 ⬇⬇⬇,-0.4375,-0.7113,-0.5625
002724,海洋王,27.08,True,4.77,4.87,4,2.01,-7.72,-3.22,-2.14,0.0,2026-07-22,2026-07-22,42.34,0.5141,-0.3654,0.3302,0.3623,0.7186,0.4497,0.2609,-0.7147,0.1426,多周期共振看空 ⬇⬇⬇,-0.323,-0.7315,-0.5625
000541,佛山照明,58.76,True,4.81,5.06,10,9.77,-4.9,0.6,-4.9,0.0828,2026-07-22,2026-07-22,25.0,0.7314,-0.4788,0.3083,0.4473,0.3333,0.4862,0.2606,-0.6187,0.1906,多周期共振看空 ⬇⬇⬇,-0.1916,-0.6331,-0.5625
002282,博深股份,27.83,True,5.51,5.72,2,0.67,-6.77,-2.9,-3.65,0.0,2026-07-22,2026-07-22,41.46,0.524,-0.3999,0.2672,0.3545,0.6992,0.5546,0.2605,-0.7662,0.1169,多周期共振看空 ⬇⬇⬇,-0.4442,-0.7408,-0.5625
002389,航天彩虹,168.89,True,17.15,17.57,3,1.37,-8.34,-3.2,-2.4,0.0,2026-07-22,2026-07-22,45.53,0.3539,-0.1032,0.4405,0.371,0.7896,0.2658,0.2599,-0.6742,0.1629,多周期共振看空 ⬇⬇⬇,-0.3246,-0.641,-0.5625
000636,风华高科,477.85,True,41.3,60.64,7,24.44,-34.02,-7.05,-31.89,0.0,2026-07-22,2026-07-22,26.52,0.1737,-0.1401,1.1297,0.2482,0.3672,0.0,0.2596,0.2393,0.6197,上升趋势中的日线回调（关注买点）,-0.4328,0.6129,0.5625
002853,皮阿诺,24.7,True,19.19,20.79,7,13.26,-14.28,-4.57,-7.72,0.0,2026-07-22,2026-07-22,47.26,0.4863,-0.1712,0.6401,0.4233,0.828,0.0,0.2593,-0.5965,0.2017,多周期共振看空 ⬇⬇⬇,-0.6342,-0.4299,-0.3375
002125,湘潭电化,75.29,True,11.96,12.59,0,-1.6,-25.44,-15.96,-5.0,0.0,2026-07-22,2026-07-22,32.09,0.9134,-0.6865,0.5501,0.548,0.4908,0.0832,0.259,-0.4602,0.2699,多周期共振看空 ⬇⬇⬇,-0.4165,-0.1594,-0.495
002716,湖南白银,173.95,True,7.49,7.78,0,-0.83,-14.12,-8.21,-3.73,0.0,2026-07-22,2026-07-22,40.43,0.2929,0.3272,0.6209,0.5066,0.6763,0.0,0.2588,-0.552,0.224,多周期共振看空 ⬇⬇⬇,-0.4376,-0.5005,-0.3375
002741,光华科技,95.9,True,22.3,30.7,8,20.91,-30.33,-6.24,-27.35,0.0,2026-07-22,2026-07-22,24.09,0.6708,-0.6289,0.9199,0.4025,0.313,0.0,0.2587,0.0498,0.5249,多周期方向不一致，观望,-0.4365,0.1432,0.45
002137,实益达,27.24,True,6.87,9.96,11,15.16,-32.93,-3.86,-31.04,0.0,2026-07-22,2026-07-22,32.19,0.6325,-0.5569,1.017,0.3795,0.4932,0.0,0.2586,-0.1301,0.435,多周期方向不一致，观望,-0.3127,-0.1463,-0.1575
600075,新疆天业,74.46,True,4.36,4.23,6,3.65,-13.71,-4.12,2.98,0.0667,2026-07-14,2026-07-22,49.67,-0.1972,-0.0379,0.5266,0.1849,0.8815,0.1224,0.2578,-0.549,0.2255,多周期共振看空 ⬇⬇⬇,-0.2358,-0.6669,-0.3375
002831,裕同科技,188.55,True,26.4,30.28,7,27.07,-21.12,-2.13,-12.81,0.0,2026-07-22,2026-07-22,28.17,0.5775,-0.6914,0.6081,0.3465,0.4038,0.0,0.2575,0.0206,0.5103,多周期方向不一致，观望,-0.4328,0.0117,0.45
002635,安洁科技,51.1,True,12.92,17.73,11,25.53,-30.25,-2.93,-27.13,0.0,2026-07-22,2026-07-22,22.23,0.3856,0.1548,1.0351,0.4933,0.2718,0.0,0.2573,-0.057,0.4715,多周期方向不一致，观望,-0.2618,-0.0263,0.0
000887,中鼎股份,221.73,True,16.87,18.19,5,7.46,-17.53,-6.72,-7.25,0.0,2026-07-22,2026-07-22,46.1,0.7184,-0.762,0.8055,0.4311,0.8023,0.0,0.2572,-0.595,0.2025,多周期共振看空 ⬇⬇⬇,-0.4182,-0.3867,-0.5625
002212,天融信,65.34,True,5.6,5.63,0,-0.5,-11.05,-5.54,-0.5,0.0,2026-07-22,2026-07-22,46.7,0.2837,0.2911,0.5049,0.4867,0.8156,0.1585,0.2565,-0.8325,0.0837,多周期共振看空 ⬇⬇⬇,-0.625,-0.7315,-0.5625
000545,金浦钛业,23.45,True,2.38,2.53,11,13.34,-6.11,0.77,-6.11,0.0415,2026-07-22,2026-07-22,39.51,0.7379,-0.6879,0.6439,0.4427,0.6557,0.0,0.2563,-0.5444,0.2278,多周期共振看空 ⬇⬇⬇,-0.2467,-0.49,-0.495
002940,昂利康,46.19,True,24.93,27.35,6,7.31,-12.99,-3.85,-8.84,0.0,2026-07-22,2026-07-22,38.18,0.6685,-0.0886,0.8839,0.5657,0.6262,0.0,0.2562,-0.6065,0.1967,多周期共振看空 ⬇⬇⬇,-0.507,-0.3358,-0.5625
002815,崇达技术,93.02,True,11.97,15.63,3,4.32,-23.73,-8.86,-23.41,0.0,2026-07-22,2026-07-22,36.47,0.4053,-0.3909,1.0015,0.2868,0.5882,0.0,0.2558,-0.1183,0.4409,多周期方向不一致，观望,-0.5327,-0.0633,0.0
002606,大连电瓷,52.1,True,12.37,13.18,2,1.15,-8.81,-3.58,-6.11,0.0,2026-07-22,2026-07-22,40.14,0.0954,-0.2445,0.5611,0.1595,0.6698,0.0648,0.2554,-0.0676,0.4662,月线看多，中短期调整中,-0.623,-0.2379,0.45
001339,智微智能,124.08,True,76.64,92.98,14,26.67,-22.73,2.97,-17.58,0.0,2026-07-22,2026-07-22,32.84,-0.0961,-0.332,0.7622,0.0672,0.5076,0.0,0.2554,0.3263,0.6632,上升趋势中的日线回调（关注买点）,-0.219,0.7221,0.5625
001312,福恩股份,9.65,True,16.88,18.19,2,0.72,-8.04,-4.7,-7.22,0.0,2026-07-22,2026-07-22,24.11,0.2468,-0.3722,0.3395,0.1992,0.3135,0.4342,0.2553,0.0,0.5,周线日线方向不一致,0.0,,
002045,国光电器,42.63,True,7.59,7.77,4,5.51,-10.22,-5.23,-2.37,0.0,2026-07-22,2026-07-22,44.56,0.1727,1.0245,0.514,0.5036,0.768,0.1434,0.254,-0.8097,0.0952,多周期共振看空 ⬇⬇⬇,-0.545,-0.75,-0.5625
003009,中天火箭,84.83,True,51.51,57.57,10,8.22,-10.53,-0.98,-10.53,0.0,2026-07-22,2026-07-22,37.86,0.6103,-0.2867,0.9028,0.4515,0.6192,0.0,0.2536,-0.4367,0.2817,多周期共振看空 ⬇⬇⬇,-0.2892,-0.2169,-0.495
