code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
603169,兰石重装,88.57,False,6.78,7.43,4,7.5,-10.45,-5.43,-8.8,0.0,从未跌破（观测期内）,2026-07-03,42.42,0.5167,-0.0068,0.6452,0.5073,0.7204,0.0,0.2709
600626,申达股份,36.78,False,3.32,3.39,0,-0.64,-10.63,-6.61,-2.11,0.0,从未跌破（观测期内）,2026-07-03,40.51,0.1825,-0.1601,0.3042,0.2455,0.6779,0.4929,0.2709
003016,欣贺股份,26.63,False,6.48,6.64,0,-2.43,-10.16,-7.21,-2.43,0.0,从未跌破（观测期内）,2026-07-03,34.01,-0.5048,0.3864,0.2986,0.3546,0.5336,0.5023,0.2707
600391,航发科技,117.26,True,35.52,33.27,4,6.77,-20.09,-6.96,6.77,0.0587,从未跌破（观测期内）,2026-07-03,51.58,0.2586,-0.2649,0.7971,0.2492,0.924,0.0,0.2706
603321,梅轮电梯,20.95,False,6.08,6.15,0,-1.13,-9.43,-5.93,-1.13,0.0,从未跌破（观测期内）,2026-07-03,41.79,-0.5422,0.0319,0.2958,0.2128,0.7065,0.5069,0.2705
603699,纽威股份,386.43,False,50.97,52.16,1,1.36,-11.99,-6.2,-2.28,0.0,从未跌破（观测期内）,2026-07-03,50.2,-0.2208,0.3518,0.5738,0.3407,0.8933,0.0437,0.2704
603079,圣达生物,22.68,False,12.0,12.31,0,-2.55,-11.38,-7.94,-2.55,0.0,从未跌破（观测期内）,2026-07-03,36.24,-0.7699,1.913,0.3853,0.4,0.583,0.3578,0.2703
002725,跃岭股份,30.75,False,12.35,13.01,0,-2.73,-16.36,-8.84,-5.08,0.0,从未跌破（观测期内）,2026-07-03,44.79,0.5617,-0.3483,0.5351,0.3977,0.7731,0.1081,0.2703
603232,格尔软件,34.49,True,14.91,16.09,2,9.29,-18.64,-11.57,-7.35,0.0,从未跌破（观测期内）,2026-07-03,40.24,0.9054,-0.7919,0.6147,0.5432,0.6721,0.0,0.2702
000839,国安股份,101.13,False,2.58,2.7,2,2.87,-14.5,-7.07,-4.32,0.0,从未跌破（观测期内）,2026-07-03,48.15,0.4917,-0.3053,0.5704,0.3729,0.8477,0.0493,0.2702
002041,登海种业,71.63,False,8.14,8.3,2,2.63,-8.9,-4.05,-1.93,0.0,从未跌破（观测期内）,2026-07-03,36.14,0.4875,-0.2467,0.378,0.3938,0.5809,0.37,0.2701
000889,中嘉博创,28.53,False,3.28,3.61,3,10.81,-16.55,-8.04,-9.24,0.0,从未跌破（观测期内）,2026-07-03,45.16,0.7587,-0.615,0.695,0.4552,0.7814,0.0,0.2701
600125,铁龙物流,68.8,False,5.27,5.37,0,-0.81,-6.49,-3.47,-1.82,0.0,从未跌破（观测期内）,2026-07-03,41.12,0.1733,-0.3539,0.2355,0.1624,0.6916,0.6075,0.27
600983,惠而浦,56.64,False,7.39,7.55,3,3.0,-11.02,-4.65,-2.12,0.0,从未跌破（观测期内）,2026-07-03,37.87,0.354,0.0694,0.456,0.4402,0.6193,0.24,0.2699
002895,川恒股份,190.06,False,31.7,30.79,2,3.57,-9.94,-3.9,2.94,0.0454,从未跌破（观测期内）,2026-07-03,51.56,0.1953,-0.1228,0.6609,0.268,0.9236,0.0,0.2699
603028,赛福天,19.72,False,6.94,7.18,0,-3.4,-13.4,-9.67,-3.4,0.0,从未跌破（观测期内）,2026-07-03,37.26,-0.447,0.4822,0.3983,0.3929,0.6059,0.3362,0.2698
603208,江山欧派,19.59,False,11.14,11.4,0,-1.75,-12.41,-7.63,-2.26,0.0,从未跌破（观测期内）,2026-07-03,38.71,-0.2861,0.4867,0.4262,0.3947,0.638,0.2896,0.2697
600674,川投能源,710.72,False,14.58,14.66,5,2.42,-7.61,-2.28,-0.55,0.0642,从未跌破（观测期内）,2026-07-03,31.65,0.4295,-0.535,0.2672,0.2577,0.4812,0.5546,0.2696
002358,森源电气,52.25,False,5.62,5.84,0,-2.09,-11.96,-7.18,-3.72,0.0,从未跌破（观测期内）,2026-07-03,43.26,0.2207,-0.1416,0.3884,0.2758,0.7391,0.3526,0.2696
