code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
603341,龙旗科技,100.87,True,37.89,37.04,9,4.45,-9.19,-1.16,2.28,0.216,从未跌破（观测期内）,2026-06-17
002362,汉王科技,38.43,True,18.51,17.71,9,11.56,-10.12,-1.62,4.51,0.2153,从未跌破（观测期内）,2026-06-17
603992,松霖科技,142.75,True,32.22,30.61,8,10.21,-10.65,-1.76,5.25,0.2145,从未跌破（观测期内）,2026-06-17
002729,好利科技,35.07,True,19.99,18.76,8,10.25,-15.04,-3.17,6.58,0.2127,从未跌破（观测期内）,2026-06-17
002516,旷达科技,88.9,True,6.1,6.08,10,7.41,-4.28,-0.18,0.3,0.2123,从未跌破（观测期内）,2026-06-17
603306,华懋科技,355.72,True,107.96,105.57,11,11.49,-15.44,-0.78,2.27,0.2121,从未跌破（观测期内）,2026-06-17
002049,紫光国微,679.61,True,80.0,77.48,9,8.88,-11.79,-1.04,3.26,0.1986,从未跌破（观测期内）,2026-06-17
603337,杰克科技,195.65,True,41.3,40.44,9,11.06,-6.25,-0.16,2.13,0.1924,从未跌破（观测期内）,2026-06-17
002577,雷柏科技,50.8,True,18.1,18.25,11,12.38,-5.38,1.26,-0.8,0.1921,从未跌破（观测期内）,2026-06-17
603296,华勤技术,634.56,True,79.46,76.74,8,11.39,-10.67,-1.22,3.55,0.1889,从未跌破（观测期内）,2026-06-17
000690,宝新能源,118.29,True,5.44,5.51,11,13.94,-8.83,1.13,-1.31,0.1705,从未跌破（观测期内）,2026-06-17
605218,伟时电子,38.78,True,18.22,17.59,8,16.83,-12.78,-2.03,3.58,0.166,从未跌破（观测期内）,2026-06-17
603175,超颖电子,46.82,True,102.97,88.27,2,16.65,-13.68,-4.73,16.65,0.1635,从未跌破（观测期内）,2026-06-17
000777,中核科技,83.81,True,21.86,17.81,3,22.76,-10.43,-5.48,22.76,0.1606,从未跌破（观测期内）,2026-06-17
002849,威星智能,38.82,True,17.74,16.82,5,8.09,-9.22,-2.53,5.45,0.1525,从未跌破（观测期内）,2026-06-17
600203,福日电子,74.89,True,12.63,12.52,10,10.18,-11.51,-1.37,0.86,0.1464,从未跌破（观测期内）,2026-06-17
600520,三佳科技,48.86,True,30.84,30.45,8,19.8,-12.01,-0.61,1.3,0.1443,从未跌破（观测期内）,2026-06-17
002637,赞宇科技,55.24,True,11.88,11.75,10,8.71,-14.24,-1.98,1.07,0.1364,从未跌破（观测期内）,2026-06-17
603499,翔港科技,61.76,True,20.41,18.97,6,7.59,-16.47,-6.04,7.59,0.1341,从未跌破（观测期内）,2026-06-17
600332,白云山,296.78,True,21.11,21.07,4,0.94,-4.15,-2.19,0.18,0.1153,从未跌破（观测期内）,2026-06-17
002415,海康威视,2927.42,True,32.36,31.04,2,4.24,-8.35,-3.62,4.24,0.1073,从未跌破（观测期内）,2026-06-17
600582,天地科技,207.34,True,5.01,5.18,7,2.29,-3.94,-1.06,-3.32,0.0934,从未跌破（观测期内）,2026-06-17
000903,ST云动,37.83,True,1.97,1.88,6,8.89,-16.75,-4.94,4.84,0.093,从未跌破（观测期内）,2026-06-17
603082,北自科技,15.13,True,37.3,36.89,7,36.55,-17.37,-1.9,1.11,0.0917,从未跌破（观测期内）,2026-06-17
603861,白云电器,83.99,True,15.89,16.43,11,10.38,-11.02,-0.1,-3.27,0.0906,从未跌破（观测期内）,2026-06-17
002132,恒星科技,72.48,True,5.18,5.31,10,7.95,-10.11,-0.41,-2.42,0.0883,从未跌破（观测期内）,2026-06-17
603629,利通电子,425.83,True,165.03,185.97,13,34.2,-26.14,6.49,-11.26,0.0875,从未跌破（观测期内）,2026-06-17
002888,惠威科技,15.25,True,20.35,19.82,5,23.86,-13.54,-2.44,2.69,0.0859,从未跌破（观测期内）,2026-06-17
002421,达实智能,76.73,True,3.83,4.67,18,45.96,-18.07,20.66,-18.07,0.0847,从未跌破（观测期内）,2026-06-17
600936,北投科技,82.72,True,4.95,5.52,14,26.67,-13.64,4.86,-10.41,0.0839,从未跌破（观测期内）,2026-06-17
600111,北方稀土,1819.1,True,50.32,49.39,4,5.1,-8.63,-3.05,1.89,0.0801,从未跌破（观测期内）,2026-06-17
002881,美格智能,75.7,True,41.6,44.49,11,16.7,-10.36,2.61,-6.5,0.0778,从未跌破（观测期内）,2026-06-17
002036,联创电子,91.83,True,8.7,9.12,10,22.37,-14.12,1.14,-4.61,0.0726,从未跌破（观测期内）,2026-06-17
600004,白云机场,193.12,True,8.16,8.18,2,1.71,-4.31,-2.2,-0.27,0.0719,从未跌破（观测期内）,2026-06-17
